BankName,Rating,ServiceCharge,APY,MinBalance,EstEarnfor50000,APY_Value
Elevault,4.6,$0,4.60%,$0,$0,4.6
Pibank,4.7,$0,4.60%,$0,$0,4.6
Bread Savings,3.9,$0,4.40%,$100,$100,4.4
My Banking Direct,4.7,$0,4.40%,$1,$500,4.4
TIMBR,4.6,$0,4.40%,$0,$1k,4.4
Primis Bank,4.7,$0,4.35%,$0,$1,4.35
EverBank,4.9,$0,4.30%,$0,$0,4.3
SFGI Direct,4.3,$0,4.26%,$1,$500,4.26
Ivy Bank,4.4,$0,4.25%,$2.5k,$2.5k,4.25
First Foundation Bank,4.9,$0,4.25%,$0,$1k,4.25
Evergreen Bank Group,4.9,$0,4.25%,$0,$100,4.25
Western Alliance Bank,4.6,—,4.25%,$0,$1,4.25
Bask Bank,4.8,$0,4.20%,$0,$0,4.2
Jenius Bank,3.7,$0,4.20%,$0,$0,4.2
RBMAX,4.0,—,4.15%,$0,$10,4.15
