BankName,Rating,ServiceCharge,APY,MinEarn,MinDeposit,APY_Value
Finworth,2.8,—,2.22%,$10k,$10k,2.22
Latino Credit Union,4.6,$5,2.22%,$500,$500,2.22
Self-Help Credit Union,4.4,$5,2.12%,$500,$500,2.12
Self-Help Federal Credit Union,3.8,$5,2.12%,$500,$500,2.12
Utah First Federal Credit Union,5.0,—,2.10%,$25k,—,2.1
PlainsCapital Bank,3.7,$10,2.07%,$5k,$2.5k,2.07
KS StateBank,5.0,$0,2.02%,$25k,$2.5k,2.02
Lake Michigan Credit Union,4.8,$0,2.00%,$25k,$0,2.0
American Bank,4.8,$0,2.00%,$0,$1,2.0
Connexus Credit Union,4.6,—,2.00%,$20k,$1k,2.0
Credit Human,4.6,$7,2.00%,$10k,$1k,2.0
Synchrony Bank,4.6,$0,2.00%,$0,$0,2.0
Randolph-Brooks Federal Credit Union,3.4,$0,1.97%,$2.5k,$2.5k,1.97
Allegacy Federal Credit Union,4.6,$0,1.80%,$25k,$50,1.8
Digital Federal Credit Union (DCU),4.6,$0,1.77%,$25k,$0,1.77
BB Americas Bank,3.6,$20,1.75%,$10k,$1k,1.75
Genisys Credit Union,3.8,—,1.71%,$25k,$2.5k,1.71
Mountain America Credit Union,5.0,—,1.70%,$25k,$0,1.7
NASA Federal Credit Union,4.3,$10,1.65%,$0,$25k,1.65
CoVantage Credit Union,4.4,—,1.65%,$25k,—,1.65
Library Of Congress Federal Credit Union,3.5,—,1.61%,$20k,$2.5k,1.61
CIT Bank,4.0,$0,1.55%,$0,$100,1.55
IncredibleBank,4.5,$10,1.51%,$10k,$0,1.51
Andrews Federal Credit Union,3.7,—,1.50%,$0,$0,1.5
Princeton Federal Credit Union,3.4,—,1.50%,$7.5k,—,1.5
Regions Bank,3.7,—,1.50%,$10k,—,1.5
Northrop Grumman Federal Credit Union,3.2,—,1.50%,$2.5k,$2.5k,1.5
Veridian Credit Union,3.8,$0,1.45%,$2.5k,—,1.45
Synergy Federal Credit Union,3.2,—,1.41%,$25k,—,1.41
Grow Financial Federal Credit Union,4.4,—,1.36%,$25k,—,1.36
All In Credit Union (AL),4.0,—,1.31%,$25k,$0,1.31
MainStreet Bank,4.4,—,1.25%,$25k,$2.5k,1.25
WaFd Bank,3.7,—,1.25%,$0,—,1.25
Woodforest National Bank,3.8,$25,1.25%,$0,$25,1.25
