BankName,Rating,ServiceCharge,APY,MinEarn,MinDeposit,APY_Value
Forbright Bank,3.4,$0,3.00%,$2.5k,$25,3.0
Seattle Bank,4.2,$10,2.30%,$0,$500,2.3
CFG Bank,3.7,—,1.75%,$20k,$50,1.75
Premier America Credit Union,4.2,$0,1.50%,$0,—,1.5
Vibrant Credit Union,4.2,$0,1.50%,$0,$0,1.5
MainStreet Bank,3.8,$15,1.25%,$25k,$50,1.25
Quorum Federal Credit Union,5.0,—,1.25%,$10k,—,1.25
National Cooperative Bank,3.6,$15,1.16%,$0,$0,1.16
American Bank,4.4,$0,1.00%,$0,$1,1.0
Bask Bank,4.6,$0,1.00%,$0,$0,1.0
NASA Federal Credit Union,3.8,$10,1.00%,$0,$0,1.0
Langley Federal Credit Union,3.2,—,0.75%,$10k,$0,0.75
PlainsCapital Bank,2.4,$20,0.65%,$25k,$100,0.65
Amalgamated Bank,4.0,—,0.55%,$2.5k,—,0.55
Communitywide Federal Credit Union,4.4,—,0.50%,$1,$5,0.5
First Internet Bank,3.6,$10,0.50%,$500,$100,0.5
PenFed Credit Union,4.1,$10,0.35%,$20k,$25,0.35
Wells Fargo Bank,3.8,$35,0.35%,$0,$25,0.35
Woodforest National Bank,2.8,$10,0.35%,$1k,$25,0.35
Citizens State Bank (6194),4.3,$6,0.29%,$1.5k,$0,0.29
Giantbank.com,3.6,—,0.25%,$1k,$100,0.25
The First State Bank,3.4,—,0.25%,$1.5k,—,0.25
Northpointe Bank,3.2,—,0.25%,$25k,$2.5k,0.25
Greenwood Credit Union,3.4,$7,0.25%,$1k,$5,0.25
EverBank,4.6,$0,0.25%,$0,$100,0.25
Alliant Credit Union,4.6,$0,0.25%,$0,$25,0.25
CIT Bank,4.4,$0,0.25%,$25k,$100,0.25
Ally Bank,4.6,$0,0.25%,$15k,$0,0.25
Dow Credit Union,4.2,—,0.25%,$0,$0,0.25
Pinnacle Federal Credit Union,4.3,$0,0.20%,$1,$25,0.2
"The Lytle State Bank of Lytle, Texas",4.0,—,0.20%,$500,—,0.2
