BankName,Rating,ServiceCharge,APY,MinEarn,MinDeposit,APY_Value
Customers Bank,4.4,—,0.20%,$0,$0,0.2
First American Bank (IL),2.5,$25,0.15%,$1k,$100,0.15
Liberty Bank and Trust Company,4.1,—,0.15%,$0,—,0.15
MutualOne Bank,3.9,$8,0.15%,$5k,$100,0.15
Peoples Bank of Kankakee County,4.0,—,0.15%,$20k,—,0.15
Service Credit Union,4.0,—,0.15%,$0,—,0.15
Affinity Plus Federal Credit Union,3.5,$6,0.13%,$200,—,0.13
United Trust Bank,3.8,—,0.12%,$10k,—,0.12
Presidential Bank (MD),4.2,$5,0.12%,$0,$1.5k,0.12
American Heritage Credit Union,2.2,$10,0.11%,$7.5k,$7.5k,0.11
Heartland Bank and Trust Company,3.7,$8,0.10%,$25k,$50,0.1
The Federal Savings Bank,3.5,—,0.10%,$100,—,0.1
Technology Credit Union,3.0,$0,0.10%,$1.5k,$0,0.1
Spectrum Credit Union,3.8,$0,0.10%,$500,—,0.1
Servbank,3.8,—,0.10%,$0,—,0.1
Self-Help Federal Credit Union,3.9,$5,0.10%,$0,$0,0.1
Self-Help Credit Union,4.1,$5,0.10%,$0,$0,0.1
Republic Bank of Chicago,3.8,$10,0.10%,$0,$25,0.1
Prime Alliance Bank,4.3,$0,0.10%,$15k,$1,0.1
Advancial,4.0,$0,0.10%,$10k,$0,0.1
OneUnited Bank,3.1,$20,0.10%,$100,$500,0.1
NuVision Federal Credit Union,2.4,$25,0.10%,$25k,$100,0.1
LendingClub,3.2,$0,0.10%,$2.5k,$25,0.1
Latino Credit Union,3.8,$2,0.10%,$0,$0,0.1
Pennsylvania State Employees Credit Union,4.2,$0,0.10%,$0,—,0.1
Hanscom Federal Credit Union,3.6,$9.95,0.10%,$0,$0,0.1
Centier Bank,4.0,$2,0.10%,$0,$25,0.1
Genisys Credit Union,2.4,$10,0.10%,$1.5k,$1.5k,0.1
American Metro Bank,3.8,$10,0.10%,$0,$300,0.1
Bank of Blue Valley,3.6,$12,0.10%,$0,$500,0.1
Bellco Credit Union,3.6,$12,0.10%,$25k,$0,0.1
Capital One,4.3,$0,0.10%,$0,$0,0.1
Alliance Bank (IN),3.8,—,0.10%,$15k,—,0.1
Chevron Federal Credit Union,3.7,$0,0.10%,$500,—,0.1
CoVantage Credit Union,3.8,$0,0.10%,$500,—,0.1
Credit Human,3.6,$5,0.10%,$0,$25,0.1
Fort Liberty Federal Credit Union,2.4,$5.95,0.10%,$2.5k,—,0.1
GECU,3.3,$0,0.10%,$2.5k,$0,0.1
Cornerstone National Bank & Trust Company,3.5,—,0.10%,$25k,—,0.1
Zions Bank,3.0,$10,0.06%,$5k,$50,0.06
Chartway Federal Credit Union,2.4,$6,0.05%,$10k,—,0.05
E*TRADE from Morgan Stanley,3.2,—,0.05%,$0,—,0.05
DeMotte State Bank,3.0,—,0.05%,$2.5k,—,0.05
Community Bank of Raymore,3.2,$6,0.05%,$0,$25,0.05
CIBC Bank USA,4.2,$0,0.05%,$0,$50,0.05
American Broadcast Employees Federal Credit Union,3.8,$0,0.05%,$0,—,0.05
Boeing Employees Credit Union (BECU),4.0,$0,0.05%,$0,—,0.05
Bank of Pontiac,3.2,—,0.05%,$2.5k,—,0.05
"Associated Bank, NA",3.2,$25,0.05%,$0,$100,0.05
Allegacy Federal Credit Union,3.4,$3,0.05%,$0,$50,0.05
Advia Credit Union,2.6,—,0.05%,$0,$0,0.05
Everwise Credit Union,4.1,—,0.05%,$0,—,0.05
