BankName,Rating,ServiceCharge,APY,MinEarn,MinDeposit,APY_Value
Primis Bank,4.5,—,4.20%,$0,$1,4.2
Dave,4.4,$0,4.00%,$0,$0,4.0
Forbright Bank,3.4,$0,3.00%,$2.5k,$25,3.0
Seattle Bank,4.2,$10,2.30%,$0,$500,2.3
ZYNLO Bank,4.8,$0,2.00%,$0,$0,2.0
CFG Bank,3.7,—,1.75%,$20k,$50,1.75
International Bank of Chicago,3.5,—,1.50%,$2.5k,$1k,1.5
First National Bank of Brookfield,3.8,—,1.31%,$25k,—,1.31
MainStreet Bank,3.8,$15,1.25%,$25k,$50,1.25
National Cooperative Bank,3.6,$15,1.16%,$0,$0,1.16
Bask Bank,4.6,$0,1.00%,$0,$0,1.0
NASA Federal Credit Union,3.8,$10,1.00%,$0,$0,1.0
American Bank,4.4,$0,1.00%,$0,$1,1.0
Langley Federal Credit Union,3.2,—,0.75%,$10k,$0,0.75
Amalgamated Bank,4.0,—,0.55%,$2.5k,—,0.55
Communitywide Federal Credit Union,4.4,—,0.50%,$1,$5,0.5
First Internet Bank,3.6,$10,0.50%,$500,$100,0.5
Albany Bank and Trust Company National Association,3.7,$10,0.35%,$0,$100,0.35
Community State Bank (8067),4.7,—,0.35%,$0,—,0.35
PenFed Credit Union,4.1,$10,0.35%,$20k,$25,0.35
Wells Fargo Bank,3.8,$35,0.35%,$0,$25,0.35
Woodforest National Bank,2.8,$10,0.35%,$1k,$25,0.35
Prairie Community Bank,4.4,—,0.30%,$0,—,0.3
"CNB Bank and Trust, N.A.",3.7,—,0.30%,$20k,—,0.3
Citizens State Bank (6194),4.3,$6,0.29%,$1.5k,$0,0.29
Alliant Credit Union,4.6,$0,0.25%,$0,$25,0.25
Ally Bank,4.6,$0,0.25%,$15k,$0,0.25
CIT Bank,4.4,$0,0.25%,$25k,$100,0.25
Community Bank of Elmhurst,4.3,—,0.25%,$1,—,0.25
Dow Credit Union,4.2,—,0.25%,$0,$0,0.25
EverBank,4.6,$0,0.25%,$0,$100,0.25
Giantbank.com,3.6,—,0.25%,$1k,$100,0.25
Greenwood Credit Union,3.4,$7,0.25%,$1k,$5,0.25
Northpointe Bank,3.2,—,0.25%,$25k,$2.5k,0.25
Newtown Savings Bank,3.4,$25,0.20%,$0,$25,0.2
Pinnacle Federal Credit Union,4.3,$0,0.20%,$1,$25,0.2
Central Bank Illinois,2.6,$10,0.20%,$10k,$200,0.2
Lake Michigan Credit Union,2.5,$10,0.20%,$25k,—,0.2
