BankName,Rating,ServiceCharge,APY,MinEarn,MinDeposit,APY_Value
Primis Bank,4.5,—,4.20%,$0,$1,4.2
Dave,4.4,$0,4.00%,$0,$0,4.0
Forbright Bank,3.4,$0,3.00%,$2.5k,$25,3.0
Seattle Bank,4.2,$10,2.30%,$0,$500,2.3
Paramount Bank (MO),4.6,$0,2.00%,$0,$100,2.0
ZYNLO Bank,4.8,$0,2.00%,$0,$0,2.0
CFG Bank,3.7,—,1.75%,$20k,$50,1.75
National Cooperative Bank,3.6,$15,1.16%,$0,$0,1.16
Notre Dame Federal Credit Union,3.0,—,1.00%,$5k,—,1.0
NASA Federal Credit Union,3.8,$10,1.00%,$0,$0,1.0
Bask Bank,4.6,$0,1.00%,$0,$0,1.0
American Bank,4.4,$0,1.00%,$0,$1,1.0
Langley Federal Credit Union,3.2,—,0.75%,$10k,$0,0.75
Amalgamated Bank,4.0,—,0.55%,$2.5k,—,0.55
Communitywide Federal Credit Union,4.4,—,0.50%,$1,$5,0.5
First Internet Bank,3.6,$10,0.50%,$500,$100,0.5
Utah First Federal Credit Union,3.4,$0,0.50%,$25k,—,0.5
PenFed Credit Union,4.1,$10,0.35%,$20k,$25,0.35
Wells Fargo Bank,3.8,$35,0.35%,$0,$25,0.35
Woodforest National Bank,2.8,$10,0.35%,$1k,$25,0.35
Citizens State Bank (6194),4.3,$6,0.29%,$1.5k,$0,0.29
The First State Bank,3.4,—,0.25%,$1.5k,—,0.25
Giantbank.com,3.6,—,0.25%,$1k,$100,0.25
Pima Federal Credit Union,4.2,$0,0.25%,$0,—,0.25
Northpointe Bank,3.2,—,0.25%,$25k,$2.5k,0.25
Greenwood Credit Union,3.4,$7,0.25%,$1k,$5,0.25
Ally Bank,4.6,$0,0.25%,$15k,$0,0.25
EverBank,4.6,$0,0.25%,$0,$100,0.25
Dow Credit Union,4.2,—,0.25%,$0,$0,0.25
CIT Bank,4.4,$0,0.25%,$25k,$100,0.25
Alliant Credit Union,4.6,$0,0.25%,$0,$25,0.25
Lake Michigan Credit Union,2.4,$10,0.20%,$25k,—,0.2
Marion State Bank (TX),3.4,—,0.20%,$1k,—,0.2
Newtown Savings Bank,3.2,$25,0.20%,$0,$25,0.2
Security Service Federal Credit Union,3.6,$9,0.20%,$25k,$25,0.2
The First National Bank of Shiner,4.1,—,0.20%,$0,—,0.2
"The Lytle State Bank of Lytle, Texas",3.7,—,0.20%,$500,—,0.2
MutualOne Bank,3.8,$8,0.15%,$5k,$100,0.15
Border Federal Credit Union,3.7,—,0.15%,$500,—,0.15
Affinity Plus Federal Credit Union,3.5,$6,0.13%,$200,—,0.13
Presidential Bank (MD),4.2,$5,0.12%,$0,$1.5k,0.12
American Heritage Credit Union,2.2,$10,0.11%,$7.5k,$7.5k,0.11
Fort Bragg Federal Credit Union,2.4,$5.95,0.10%,$2.5k,—,0.1
OneUnited Bank,3.1,$20,0.10%,$100,$500,0.1
NuVision Federal Credit Union,2.2,$25,0.10%,$25k,$100,0.1
LendingClub,3.2,$0,0.10%,$2.5k,$25,0.1
Latino Credit Union,3.8,$2,0.10%,$0,$0,0.1
Hanscom Federal Credit Union,3.6,$9.95,0.10%,$0,$0,0.1
Genisys Credit Union,2.4,$10,0.10%,$1.5k,$1.5k,0.1
GECU,3.3,$0,0.10%,$2.5k,$0,0.1
Bank of Blue Valley,3.6,$12,0.10%,$0,$500,0.1
Credit Human,3.6,$5,0.10%,$0,$25,0.1
CoVantage Credit Union,3.8,$0,0.10%,$500,—,0.1
Chevron Federal Credit Union,3.7,$0,0.10%,$500,—,0.1
Castroville State Bank,4.0,—,0.10%,$800,—,0.1
Capital One,4.3,$0,0.10%,$0,$0,0.1
Bellco Credit Union,3.6,$12,0.10%,$25k,$0,0.1
bankESB,4.2,$0,0.10%,$25k,$100,0.1
Advancial,4.0,$0,0.10%,$10k,$0,0.1
Pennsylvania State Employees Credit Union,4.2,$0,0.10%,$0,—,0.1
